date,channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
2026-06-01,Class Presentation,42,18,12,6,5,Introduced WatchMate during ICT111 class presentation
2026-06-05,LINE Group,28,11,8,4,3,Shared prototype link in class LINE group
2026-06-09,Instagram Story,55,24,18,9,7,Posted movie recommendation demo with swipe-up link
2026-06-13,Facebook Student Group,36,15,11,5,4,Shared project introduction in university Facebook group
2026-06-17,QR Poster (Library),30,13,9,4,3,Placed QR code posters in university library
2026-06-21,Peer Direct Invitation,22,14,12,7,6,Invited classmates to test personalized recommendations
2026-06-25,Instagram Reel,60,29,20,10,8,Short AI recommendation demo video
2026-06-29,QR Poster (Student Center),38,17,13,6,5,Displayed promotional posters near student center
2026-07-03,Discord Study Group,33,14,10,5,4,Shared prototype with programming study group
2026-07-07,Campus Movie Club,58,27,21,11,9,Movie club members tested recommendation features
2026-07-11,LINE Group Reminder,26,10,8,4,3,Reminder post before usability testing session
2026-07-15,ICT Building Promotion,40,18,15,7,6,QR code distributed around ICT building
2026-07-20,Prototype Testing Session,24,22,22,15,12,Conducted in-person usability testing with students
2026-07-27,Final Project Promotion,50,23,18,9,7,Final invitation before project evaluation
